epoch,acc,loss,val_acc,val_loss
0,0.51375,0.766484445333,0.5,0.716559052467
1,0.5328125,0.741413623095,0.46875,0.721035373211
2,0.579375,0.708447383642,0.50625,0.722047078609
3,0.578125,0.716314177513,0.503125,0.735043311119
4,0.5821875,0.706150535345,0.50625,0.750737309456
0,0.4415625,0.877916730642,0.53125,0.715796494484
1,0.505625,0.799407954216,0.51875,0.716509819031
2,0.5375,0.760914553404,0.5125,0.716617488861
3,0.5290625,0.754477081299,0.484375,0.715874493122
4,0.5328125,0.738555524349,0.55625,0.711800789833
5,0.5640625,0.725792443752,0.515625,0.71796694994
6,0.5696875,0.711402192116,0.496875,0.743889069557
7,0.58375,0.703256505728,0.4875,0.777330696583
8,0.59375,0.694292085171,0.5,0.788246154785
9,0.600625,0.686261161566,0.5,0.798139679432
10,0.6134375,0.679781409502,0.49375,0.806497955322
11,0.6171875,0.669181843996,0.515625,0.754106760025
12,0.61875,0.667884854078,0.51875,0.757517874241
13,0.65,0.646821814775,0.478125,0.80400313139
14,0.6653125,0.63465952754,0.525,0.757907867432
15,0.6528125,0.645585507154,0.540625,0.739667332172
16,0.6546875,0.644251021147,0.540625,0.727243924141
17,0.6703125,0.636639079452,0.634375,0.657458639145
18,0.6621875,0.637667999268,0.565625,0.689889013767
19,0.6640625,0.635277783871,0.6,0.670303869247
20,0.673125,0.623449213505,0.628125,0.64150415659
21,0.6953125,0.60258692801,0.634375,0.63235014677
22,0.6878125,0.603525941372,0.625,0.643969535828
23,0.69875,0.601864171028,0.628125,0.623383998871
24,0.685625,0.609155182838,0.665625,0.608197951317
25,0.6909375,0.593501160741,0.65,0.62973805666
26,0.67625,0.605631496906,0.61875,0.630546689034
27,0.709375,0.589196200371,0.66875,0.622453594208
28,0.713125,0.576617073417,0.65,0.635551548004
29,0.7159375,0.574266057014,0.646875,0.627934396267
30,0.7175,0.575320114493,0.6875,0.592522513866
31,0.7153125,0.570655044913,0.6625,0.603436768055
32,0.7271875,0.560743050575,0.659375,0.612294828892
33,0.7084375,0.579760724306,0.684375,0.605656790733
34,0.72125,0.560930656791,0.671875,0.584410274029
35,0.7309375,0.556947101951,0.640625,0.627295720577
36,0.7315625,0.551783032417,0.665625,0.615031933784
37,0.7275,0.549205022454,0.671875,0.587181437016
